player,org,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
Ninou,VLNT,0.98,181.7,0.88,73%,125.3,0.60,0.40,0.06,0.06,19%,11%
Zyko,,0.98,199.0,0.87,69%,128.4,0.69,0.35,0.06,0.06,26%,28%
zaj,ASTA,0.98,211.2,0.94,69%,142.3,0.71,0.20,0.12,0.12,36%,17%
Envy2K,,0.98,231.5,1.00,62%,144.6,0.79,0.19,0.18,0.20,23%,11%
calsushi,TDY,0.98,203.3,0.91,69%,137.5,0.71,0.24,0.09,0.06,30%,14%
geeza,MU,0.98,211.2,1.00,68%,139.2,0.74,0.18,0.10,0.10,32%,9%
Caedye,RID,0.97,224.9,0.94,74%,136.7,0.75,0.37,0.12,0.10,32%,8%
Chillin,SCC,0.97,181.4,0.97,73%,120.7,0.66,0.36,0.08,0.09,30%,8%
renz,MU,0.97,202.2,1.00,70%,136.7,0.74,0.25,0.14,0.14,31%,17%
Ange,MU,0.97,193.8,0.95,69%,128.8,0.67,0.36,0.11,0.09,23%,6%
mummAy,FAIM,0.97,167.9,0.95,73%,109.6,0.61,0.44,0.04,0.07,31%,12%
JohnOlsen,FS,0.97,226.7,1.03,67%,148.8,0.79,0.21,0.15,0.19,26%,15%
Leyre,TU.O,0.97,197.2,0.95,66%,130.0,0.72,0.26,0.08,0.07,27%,7%
Poly,SISU,0.97,186.5,0.96,70%,122.0,0.64,0.29,0.07,0.10,34%,28%
nex1SphiX,MGLZ,0.97,175.8,0.95,74%,123.5,0.63,0.34,0.03,0.06,28%,10%
johnqt,SEN,0.97,162.2,0.98,72%,109.3,0.59,0.41,0.04,0.07,27%,4%
Scottie,UCF.B,0.97,184.6,0.87,68%,120.3,0.63,0.31,0.07,0.08,29%,14%
zerona,Fish,0.97,198.5,0.95,70%,131.1,0.70,0.26,0.09,0.10,31%,19%
NiSMO,M80,0.97,175.7,0.90,75%,117.7,0.60,0.52,0.06,0.05,29%,7%
mili,RF.GC,0.97,199.8,0.96,72%,135.0,0.71,0.20,0.10,0.09,29%,11%
ginger,aTTaX,0.97,201.7,1.03,66%,130.9,0.74,0.21,0.09,0.11,25%,23%
KHaaLiD,TU,0.97,197.9,0.99,74%,133.6,0.68,0.25,0.09,0.13,28%,18%
evv,FLY.R,0.97,191.2,0.96,73%,124.1,0.68,0.28,0.07,0.06,30%,22%
WIRE,Awak,0.97,233.3,1.00,61%,156.2,0.83,0.15,0.19,0.20,30%,14%
