player,org,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,clutch_wins,max_kills,kills,deaths,assists,first_kills,first_deaths
melya,MYTH,686,1.14,220.3,1.14,74%,144.4,0.77,0.37,0.07,0.05,30%,11%,11/96,28,528,465,251,49,36
KEN,CGZ,210,1.14,234.2,1.09,74%,167.5,0.78,0.29,0.14,0.11,24%,26%,6/23,26,163,149,61,30,23
gMd,TSM,956,1.14,223.5,1.11,75%,143.8,0.78,0.41,0.10,0.08,29%,16%,21/129,28,747,675,393,92,73
Pa1nt,BLIN,620,1.14,256.4,1.22,72%,164.7,0.91,0.16,0.23,0.15,29%,23%,6/26,33,565,465,101,145,96
Moh,TU,305,1.14,215.7,1.19,73%,140.8,0.78,0.24,0.13,0.10,35%,18%,6/33,27,237,200,74,41,31
LoRangeZ,INFN,343,1.13,207.5,1.13,75%,135.4,0.73,0.45,0.09,0.06,32%,15%,6/39,23,250,222,154,31,20
UR,ZETA.GC,271,1.13,214.8,1.03,67%,149.1,0.74,0.36,0.10,0.07,26%,19%,6/31,29,200,194,97,26,18
yoman,GEN,204,1.13,183.5,1.26,78%,123.8,0.68,0.27,0.07,0.05,27%,17%,4/23,26,139,110,56,14,10
Potter,FS,374,1.13,236.4,1.22,73%,152.6,0.86,0.18,0.16,0.16,33%,13%,4/31,29,322,264,66,61,58
Ask,BCS,322,1.13,217.3,1.09,73%,146.0,0.75,0.31,0.07,0.07,25%,21%,10/48,24,240,220,99,21,23
silentzz,2G,466,1.13,239.0,1.20,73%,154.8,0.86,0.16,0.17,0.11,32%,6%,3/48,28,400,334,76,77,53
robot,RB,818,1.13,228.2,1.12,73%,150.9,0.80,0.36,0.13,0.11,27%,14%,15/108,39,653,583,292,103,94
VYX,curs,634,1.13,199.7,1.15,77%,130.3,0.71,0.36,0.06,0.06,30%,9%,10/112,22,452,393,230,36,35
hellff,OGS,291,1.12,211.3,1.14,72%,140.6,0.74,0.28,0.10,0.08,34%,25%,9/36,27,215,188,81,29,23
exa,T1A,824,1.12,214.7,1.14,71%,144.1,0.78,0.26,0.08,0.09,27%,19%,18/94,28,639,561,213,64,73
SkyIsBlue,MGLZ,201,1.12,234.2,1.14,74%,150.3,0.83,0.33,0.13,0.12,26%,8%,1/13,29,166,145,66,26,24
Kadoom,SPE,234,1.12,242.8,1.23,73%,158.5,0.87,0.15,0.17,0.17,25%,13%,2/15,25,203,165,36,40,39
ArPoom,NKT,343,1.12,198.5,1.12,79%,137.0,0.73,0.34,0.07,0.07,32%,20%,11/54,30,249,222,115,23,24
satellite,VLYN,437,1.11,246.1,1.16,70%,151.3,0.86,0.17,0.22,0.11,19%,5%,2/38,31,376,323,75,97,49
